"FONDSID";"FST_FONDSTYPE_NR";"VAL_VALUTACODE";"FONDSNAAM";"NAAM_KORT";"SYMBOOL";"SYMBOOL_LONG";"CFI_CODE";"ISIN";"RECONCILIATIEISIN";"TICKER";"SYMBOLINDEX";"CUISP";"RIC";"BLOOMBERG";"MIC";"EXCANGE_SEGMENT";"EOD_DATETIME";"EXCANGE_NAME";"EXCANGE_TIMEZONE"
"2658621";"1000";"EUR";"STOXX Europe 600";"STOXX Europe 600";"SXXP";"SXXP";"";"EU0009658202";"";"SXXP";"";"";"";"";"XEUR";"Eurex Indices";"7-12-2021 17:30:00";"Eurex";"W. Europe Standard Time"
"42054";"1000";"EUR";"AMX-Index";"AMX";"AMX";"AMX";"";"NL0000249274";"";"AMX";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"814613";"1060";"EUR";".";".";"530356";"530356";"";"";"";"";"";"";"";"";"-";"Indices";"7-12-2021 23:00:00";"Indices";"W. Europe Standard Time"
"686741";"1000";"EUR";"MFI100";"MFI100";"MFI100";"MFI100";"";"";"";"";"";"";"";"";"MTAA";"MTA INTERNATIONAL - GERMAN SHARES";"7-12-2021 17:36:00";"Milan";"W. Europe Standard Time"
"735823";"1060";"EUR";"CPTFEMU";"CPTFEMU";"CPTFEMU";"CPTFEMU";"";"";"";"CPTFEMU";"";"";"";"";"-";"Indices";"7-12-2021 23:00:00";"Indices";"W. Europe Standard Time"
"12702";"1000";"EUR";"FTSE Eurotop 110/10 index";"FTSE Eurotop 110/10";"ET1";"ET1";"";"";"";"99189";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"12452";"1000";"EUR";"AEX-index light";"AEX-index light";"AEL";"AEL";"";"";"";"99184";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"13264";"1000";"EUR";"FTSE Eurostars-index 100 x 1/10";"FTSE Eurostars-index";"STAR";"STAR";"";"";"";"";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"11624";"1000";"EUR";"Top 100 index";"Top 100 index";"E100";"E100";"";"";"";"99199";"";"";"";"";"XAMS";"Euronext Amsterdam securities";"7-12-2021 17:40:00";"Euronext Amsterdam securities";"W. Europe Standard Time"
"191264";"1000";"HKD";"Hang Seng [D]";"Hang Seng [D]";"HSI";"HSI";"";"HK0000004322";"";"";"";"";"";"";"XHKG";"Hong Kong Stock Exchange";"8-12-2021 09:00:00";"Hong Kong Stock Exchange";"China Standard Time"
"20693";"1000";"EUR";"Amsterdam Midkap Index 1/10";"Amsterdam Midkap Ind";"MID";"MID";"";"";"";"";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"27463";"1000";"USD";"Nasdaq 100 mini future";"Nasdaq 100 mini fut";"NAS";"NAS";"";"US6311011026";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"7-12-2021 22:20:00";"Chicago Mercantile";"Central Standard Time"
"3829";"1000";"EUR";"AEX-Index";"AEX";"AEX";"AEX";"";"NL0000000107";"";"99194";"";"";"";"";"XEUE";"Euronext Amsterdam Options";"7-12-2021 17:30:00";"Euronext Amsterdam options";"W. Europe Standard Time"
"3830";"1000";"EUR";"DAX Index";"DAX";"DAX";"DAX";"";"DE0008469008";"";"DAX";"";"";"";"";"XEUR";"Eurex Indices";"7-12-2021 17:30:00";"Eurex";"W. Europe Standard Time"
"3831";"1000";"USD";"Dow mini future";"Dow mini future";"DJI";"DJI";"";"US2605661048";"";"";"";"";"";"";"XCME";"Chicago Mercantile";"7-12-2021 22:20:00";"Chicago Mercantile";"Central Standard Time"
