"FON_FONDSID";"DATUM";"KOERS";"KOERS";"KOERS";"KOERS";"OMZET"
"3830";"2003-06-23";"3236.96000";"3246.25000";"3173.18000";"3186.39000";"0"
"3830";"2003-06-24";"3185.18000";"3228.37000";"3165.25000";"3217.34000";"0"
"3830";"2003-06-25";"3217.23000";"3237.48000";"3180.03000";"3198.82000";"0"
"3830";"2003-06-26";"3194.98000";"3246.67000";"3157.70000";"3241.22000";"0"
"3830";"2003-06-27";"3251.87000";"3263.12000";"3207.13000";"3224.66000";"0"
"3830";"2003-06-30";"3228.81000";"3271.31000";"3181.76000";"3220.58000";"0"
"3830";"2003-07-01";"3217.21000";"3217.21000";"3119.35000";"3146.55000";"0"
"3830";"2003-07-02";"3148.10000";"3243.04000";"3148.10000";"3241.04000";"0"
"3830";"2003-07-03";"3237.05000";"3261.58000";"3196.73000";"3241.92000";"0"
"3830";"2003-07-04";"3237.80000";"3243.73000";"3213.61000";"3239.61000";"0"
"3830";"2003-07-07";"3244.94000";"3359.01000";"3244.94000";"3332.87000";"0"
"3830";"2003-07-08";"3335.00000";"3363.43000";"3308.79000";"3344.46000";"0"
"3830";"2003-07-09";"3343.13000";"3358.06000";"3299.74000";"3322.43000";"0"
"3830";"2003-07-10";"3322.04000";"3322.04000";"3255.89000";"3269.84000";"0"
"3830";"2003-07-11";"3264.58000";"3332.12000";"3245.45000";"3326.51000";"0"
"3830";"2003-07-14";"3335.12000";"3404.47000";"3333.97000";"3396.07000";"0"
"3830";"2003-07-15";"3391.84000";"3429.89000";"3372.50000";"3384.69000";"0"
"3830";"2003-07-16";"3385.18000";"3430.76000";"3358.68000";"3387.64000";"0"
"3830";"2003-07-17";"3384.86000";"3384.86000";"3312.90000";"3330.68000";"0"
"3830";"2003-07-18";"3328.91000";"3378.14000";"3328.06000";"3366.71000";"0"
"3830";"2003-07-21";"3370.07000";"3390.61000";"3281.06000";"3287.00000";"0"
"3830";"2003-07-22";"3295.34000";"3321.88000";"3255.90000";"3318.15000";"0"
"3830";"2003-07-23";"3323.70000";"3338.77000";"3277.24000";"3304.48000";"0"
"3830";"2003-07-25";"3367.71000";"3371.93000";"3313.56000";"3356.89000";"0"
"3830";"2003-07-28";"3360.67000";"3425.45000";"3360.67000";"3417.77000";"0"
"3830";"2003-07-29";"3417.51000";"3452.18000";"3373.63000";"3428.12000";"0"
"3830";"2003-07-30";"3418.49000";"3449.21000";"3395.74000";"3429.03000";"0"
"3830";"2003-07-31";"3432.75000";"3487.86000";"3399.86000";"3487.86000";"0"
"3830";"2003-08-01";"3481.81000";"3481.81000";"3403.03000";"3438.89000";"0"
"3830";"2003-08-05";"3414.10000";"3454.76000";"3399.20000";"3438.36000";"0"
"3830";"2003-08-06";"3427.49000";"3427.49000";"3318.16000";"3375.66000";"0"
"3830";"2003-08-07";"3370.50000";"3370.50000";"3299.77000";"3331.89000";"0"
"3830";"2003-08-08";"3339.87000";"3367.17000";"3309.22000";"3332.24000";"0"
"3830";"2003-08-11";"3333.07000";"3361.67000";"3309.85000";"3339.58000";"0"
"3830";"2003-08-12";"3342.59000";"3399.76000";"3342.59000";"3381.71000";"0"
